,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
307676,34.77109447044168,4.758568147683614,0.9532583615956505,204.40453823240858,716.1353513075913
19406,38.222355133909076,297.3813837084168,0.9170570148599689,188.76158378260402,784.4347871291568
85798,33.29834373549592,282.899033369373,0.9402843574299208,158.6546706602248,901.1156310918888
334261,31.54123889942026,298.1700147292107,0.94659665116108,205.24505976954873,836.8901785188733
35542,42.767593810296624,297.89108860034287,0.9555256391959748,209.44722984022084,746.7728547756914
365866,35.51951319007344,293.3796555338922,0.944436258699733,119.82109727801172,827.7180078045194
201791,40.83785304961688,311.24110596711324,0.921569952960741,127.95691620033733,689.9639028356825
87553,33.50239839743986,281.0003143932018,0.9480649830298145,114.26429712854055,910.0820428917668
289214,35.706856972685756,289.9729221146958,0.9283808187809592,149.85070704509286,844.6285238473549
112719,33.139519579278826,310.59456924872313,0.9122484883416508,131.942139922828,766.6689919295864
174821,38.214438995805025,296.03334971648053,0.9615786672367077,122.3796550521534,791.9152935646483
141550,37.052567679590844,277.99432082738775,0.9621423231628956,57.94311219013943,903.8465415088123
1623,33.718829092794,279.08264057800704,0.946454065962362,25.703885043557406,919.2086476268147
286469,36.32630517975212,270.1145350469019,0.9431323602824043,255.35628814711163,954.6247129593631
85775,38.67439920209763,301.1368589423693,0.9223790007822297,747.5131465875832,760.382797898162
124949,36.72885376703312,305.93845355614445,0.959076046642725,82.76191439141236,752.887412619019
207993,44.24849975292473,297.6986504001718,0.90651424131505,248.99659720962083,737.0602910224978
116434,37.89676339152895,272.764674158865,0.9015329705976265,129.126083605301,929.9552716296063
23893,31.84612041282907,289.1079934576549,0.9558093470392073,126.43558822627296,879.0317322505282
51885,32.186330591040466,281.7782376649287,0.9352878573357933,828.5923166075063,914.8712099800492
147000,35.96677950138619,274.54693972241995,0.9114169043768154,256.57604564860924,930.7825968967363
345261,37.44975206858534,303.5937004509657,0.9085571701048315,285.2119558030935,758.0859201381417
129438,43.9548337843995,291.0382383155995,0.9460697959400927,115.6207969142511,779.4912860815556
134692,34.59978484485713,287.1355038029727,0.9329512449639361,131.52376024722724,868.5195819046799
314968,30.205032740488907,313.4562772818357,0.9475766390673054,106.8375570388621,787.3076667386837
37053,30.007976246197586,313.55224620092787,0.9206383626439574,101.96359505588183,789.2029611649696
72515,34.22240589288036,271.9125679013191,0.9470766296487182,218.51094287039294,956.2737454121951
94585,41.43951591541102,293.44658729531193,0.9157223143884768,168.50738314930078,782.7145773347427
139494,32.75797145076701,302.5562302113449,0.9518141313390283,122.8029372886264,805.476037087446
148136,34.45107344051064,279.0964291344823,0.907210655084291,257.3746018326392,914.314433651858
141176,40.21489433719988,292.1704481470405,0.9512484130102906,149.12307447066857,798.9586797401136
228998,42.67687872885798,305.6014109244565,0.8898713466898619,81.33530018465983,703.8364121910236
167166,25.792033135115723,0.4604899625868073,0.978763654092922,139.12876566241695,819.2961351239989
266724,28.18593779189502,5.667686274812277,0.9647100851862871,187.12708150414807,800.5297189520917
352181,27.544718843504196,14.562748974610592,0.973405320795183,317.78524685246964,835.6293558264985
190387,25.965102843467427,9.341131035658035,0.9704051778052774,99.0439377670789,838.6945200850995
9911,26.237800248558962,10.145213372665848,0.9904090979165779,414.3431646559357,837.6008325644101
40020,17.783482474013816,13.574824844121869,0.9993413467763204,466.8493589196615,955.5486550944614
6995,23.700276136330825,28.33263862378262,0.9985986943003804,484.879165171104,933.6862683906328
158989,24.075707072667615,25.246786139076143,0.9983176695578723,170.44861358226638,916.5737836576724
129945,22.423764518061663,3.6407507469382003,0.9653580933393232,121.02162732921295,870.5538139188873
263334,19.738821326188535,24.378268624265722,0.9701901369672957,112.97359880584507,963.0874742229273
104426,25.45976272458527,3.7969360227925533,0.9676210709594304,186.13236865900797,830.8566924673855
348366,29.527472784232685,19.49811792586454,0.9763568505219099,126.46641801638187,830.9153050601566
77562,28.62222220772457,9.945009096938904,0.9921698536332547,112.99192160842853,807.4286687488021
31465,25.187367217692227,11.794833991374729,0.9805125714393332,142.75598378111903,855.6159864951993
273841,29.06078916718954,13.727696634447296,0.9851953688585874,99.75409211895668,814.542609141925
136624,27.639432982924326,1.6352223320973642,0.9952893665685594,146.4059125962317,797.6857188397463
366668,19.936918227988343,5.6754708341197135,0.991016949862452,1060.2821072334636,908.6227725453214
32171,27.678268381100064,23.59025155024226,0.996972773506977,184.98952007013003,868.9742964576664
117779,22.203228531538137,2.3694980592897026,0.9924128753511483,145.2400985423409,870.9187394837488
283617,20.215011131594537,11.815356800156977,0.9845570014795475,119.62311006701722,919.3406477900367
256386,27.05752653016976,30.192219132672076,0.987211551674503,179.26980326535445,906.0183983509227
68956,27.829871851702645,33.14989934904239,0.9711088644562839,141.24490125488902,913.1258640718344
186849,24.51581453452109,15.605526246846074,0.9918809919855522,274.97459144159734,875.8391321408227
169215,21.416937411782953,1.5271288509726262,0.987728305683028,347.9103701019426,879.9760634823665
